ident,latitude_deg,longitude_deg,name,continent,iso_country
CYDB,61.371101,-139.041,Burwash Airport,NA,CA
CYDC,49.468102,-120.511002,Princeton Airport,NA,CA
CYDF,49.2108,-57.391399,Deer Lake Airport,NA,CA
CYDL,58.422199,-130.031998,Dease Lake Airport,NA,CA
CYDM,61.9706001282,-132.42300415,Ross River Airport,NA,CA
CYDN,51.1008,-100.052002,Dauphin Barker Airport,NA,CA
CYDO,48.7785,-72.375,Dolbeau-Saint-Felicien Airport,NA,CA
CYDP,56.550778,-61.682224,Nain Airport,NA,CA
CYDQ,55.741245,-120.183263,Dawson Creek Airport,NA,CA
CYEA,50.93330001831055,-110.01300048828124,Empress Airport,NA,CA
CYEE,44.6833000183,-79.9282989502,Huronia Airport,NA,CA
CYEG,53.3097,-113.580002,Edmonton International Airport,NA,CA
CYEK,61.0942,-94.070801,Arviat Airport,NA,CA
CYEL,46.351398468,-82.5614013672,Elliot Lake Municipal Airport,NA,CA
CYEM,45.842435,-81.857595,Manitoulin East Municipal Airport,NA,CA
CYEN,49.2103004456,-102.966003418,Estevan Airport,NA,CA
CYER,56.018902,-87.676102,Fort Severn Airport,NA,CA
CYES,47.487208,-68.477732,Edmundston Airport,NA,CA
CYET,53.5788993835,-116.464996338,Edson Airport,NA,CA
CYEU,79.9946975708,-85.814201355,Eureka Airport,NA,CA
CYEV,68.30419921880001,-133.483001709,Inuvik Mike Zubko Airport,NA,CA
CYEY,48.563903,-78.249702,Amos/Magny Airport,NA,CA
CYFA,52.203451,-81.695194,Fort Albany Airport,NA,CA
CYFB,63.756402,-68.555801,Iqaluit Airport,NA,CA
CYFC,45.868900299072266,-66.53720092773438,Fredericton Airport,NA,CA
CYFD,43.13140106201172,-80.34249877929688,Brantford Municipal Airport,NA,CA
CYFE,48.74610137939453,-69.09719848632812,Forestville Airport,NA,CA
CYFH,51.561901,-87.907799,Fort Hope Airport,NA,CA
CYFJ,46.409401,-74.779999,Mont-Tremblant International Airport,NA,CA
CYFO,54.678101,-101.681999,Flin Flon Airport,NA,CA
CYFR,61.1808013916,-113.690002441,Fort Resolution Airport,NA,CA
CYFS,61.76020050048828,-121.23699951171876,Fort Simpson Airport,NA,CA
CYFT,55.077335,-59.187942,Makkovik Airport,NA,CA
CYGB,49.694341,-124.518099,Texada Gillies Bay Airport,NA,CA
CYGD,43.7668991089,-81.7106018066,Goderich Airport,NA,CA
CYGE,51.299196,-116.982002,Golden Airport,NA,CA
CYGH,66.240658,-128.647757,Fort Good Hope Airport,NA,CA
CYGK,44.2253,-76.596901,Kingston Norman Rogers Airport,NA,CA
CYGL,53.625301361083984,-77.7042007446289,La Grande Rivière Airport,NA,CA
CYGM,50.62810134887695,-97.04329681396484,Gimli Industrial Park Airport,NA,CA
CYGO,54.55768,-94.490061,Gods Lake Narrows Airport,NA,CA
CYGP,48.774915,-64.481893,Michel-Pouliot Gaspé Airport,NA,CA
CYGQ,49.77830123901367,-86.93939971923828,Geraldton Greenstone Regional Airport,NA,CA
CYGR,47.425242,-61.778612,Îles-de-la-Madeleine Airport,NA,CA
CYGT,69.3647,-81.816101,Igloolik Airport,NA,CA
CYGV,50.281898,-63.611401,Havre-Saint-Pierre Airport,NA,CA
CYGW,55.28189849853516,-77.76529693603516,Kuujjuarapik Airport,NA,CA
CYGX,56.35712,-94.711504,Gillam Airport,NA,CA
CYGZ,76.425823,-82.908583,Grise Fiord Airport,NA,CA
CYHA,61.046398,-69.617798,Quaqtaq Airport,NA,CA
CYHB,52.8166999817,-102.310997009,Hudson Bay Airport,NA,CA
CYHD,49.831699,-92.744202,Dryden Regional Airport,NA,CA
CYHE,49.368865,-121.49495,Hope Airport / FVRD Regional Airpark,NA,CA
CYHF,49.71419906616211,-83.68609619140625,Hearst René Fontaine Municipal Airport,NA,CA
CYHH,51.691101,-76.135597,Nemiscau Airport,NA,CA
CYHI,70.762802,-117.806,Ulukhaktok Holman Airport,NA,CA
CYHK,68.635597,-95.849701,Gjoa Haven Airport,NA,CA
CYHM,43.1735992432,-79.93499755859999,John C. Munro Hamilton International Airport,NA,CA
CYHN,49.19309997558594,-84.75890350341797,Hornepayne Municipal Airport,NA,CA
CYHO,55.448757,-60.228124,Hopedale Airport,NA,CA
CYHP,52.1133,-94.2556,Poplar Hill Airport,NA,CA
CYHR,50.468322,-59.637823,Chevery Airport,NA,CA
CYHS,44.158298,-81.062798,Hanover / Saugeen Municipal Airport,NA,CA
CYHT,60.7892,-137.546005,Haines Junction Airport,NA,CA
CYHU,45.517502,-73.416901,Montréal / Saint-Hubert Metropolitan Airport,NA,CA
CYHY,60.8396987915,-115.782997131,Hay River / Merlyn Carter Airport,NA,CA
CYHZ,44.8807983398,-63.5085983276,Halifax / Stanfield International Airport,NA,CA
CYIB,48.773899,-91.638603,Atikokan Municipal Airport,NA,CA
CYID,44.5458450365,-65.7854247093,Digby / Annapolis Regional Airport,NA,CA
CYIF,51.2117,-58.658298,St Augustin Airport,NA,CA
CYIK,62.417301,-77.925301,Ivujivik Airport,NA,CA
CYIO,72.689494,-77.968941,Pond Inlet Airport,NA,CA
CYIV,53.857200622558594,-94.65360260009766,Island Lake Airport,NA,CA
CYJA,52.996418,-118.060233,Jasper Airport,NA,CA
CYJF,60.2358016968,-123.46900177,Fort Liard Airport,NA,CA
CYJM,54.39720153808594,-124.26300048828124,Fort St James Airport,NA,CA
CYJN,45.29439926147461,-73.28109741210938,St Jean Airport,NA,CA
CYJP,61.31940078735352,-117.6060028076172,Fort Providence Airport,NA,CA
CYJQ,52.136474,-128.056182,Denny Island Airport,NA,CA
CYJT,48.544201,-58.549999,Dymond Airport,NA,CA
CYKA,50.703038,-120.448641,Kamloops John Moose Fulton Field Regional Airport,NA,CA
CYKC,58.2360992432,-103.678001404,Collins Bay Airport,NA,CA
CYKD,68.223297,-135.00599,Aklavik/Freddie Carmichael Airport,NA,CA
CYKF,43.4608,-80.378601,Region of Waterloo International Airport,NA,CA
CYKG,61.5886,-71.929398,Kangiqsujuaq (Wakeham Bay) Airport,NA,CA
CYKJ,57.25609970092773,-105.61799621582033,Key Lake Airport,NA,CA
CYKL,54.805301666259766,-66.8052978515625,Schefferville Airport,NA,CA
CYKM,44.201401,-81.606697,Kincardine Municipal Airport,NA,CA
CYKO,60.8186,-78.148598,Akulivik Airport,NA,CA
CYKP,51.6585998535,-85.9017028809,Ogoki Post Airport,NA,CA
CYKQ,51.473301,-78.758301,Waskaganish Airport,NA,CA
CYKT,50.859547,-120.671132,Tranquille Valley Airfield,NA,CA
CYKX,48.21030044555664,-79.98139953613281,Kirkland Lake Airport,NA,CA
CYKY,51.5175018311,-109.180999756,Kindersley Airport,NA,CA
CYLA,59.2967,-69.599701,Aupaluk Airport,NA,CA
CYLB,54.7703018188,-112.031997681,Lac La Biche Airport,NA,CA
CYLC,62.848253,-69.877853,Kimmirut Airport,NA,CA
CYLD,47.81999969482422,-83.3467025756836,Chapleau Airport,NA,CA
CYLH,52.195599,-87.934196,Lansdowne House Airport,NA,CA
CYLI,50.674702,-121.893997,Lillooet Airport,NA,CA
CYLJ,54.125301361083984,-108.52300262451172,Meadow Lake Airport,NA,CA
CYLK,62.417823,-110.682793,Lutselk'e Airport,NA,CA
CYLL,53.3092,-110.072998,Lloydminster Airport,NA,CA
CYLQ,47.4096984863,-72.7889022827,La Tuque Airport,NA,CA
CYLR,56.513301849365234,-99.98529815673828,Leaf Rapids Airport,NA,CA
CYLS,44.485056,-79.554663,Barrie-Lake Simcoe Regional Airport,NA,CA
CYLT,82.517799,-62.280602,Alert Airport,NA,CA
CYLU,58.711399,-65.992798,Kangiqsualujjuaq (Georges River) Airport,NA,CA
CYLW,49.9561,-119.377998,Kelowna International Airport,NA,CA
CYMA,63.61640167236328,-135.8679962158203,Mayo Airport,NA,CA
CYME,48.85689926147461,-67.45330047607422,Matane Airport,NA,CA
CYMG,49.08390045166016,-85.86060333251953,Manitouwadge Airport,NA,CA
CYMH,52.302837,-55.847433,Mary's Harbour Airport,NA,CA
CYMJ,50.330299377441406,-105.55899810791016,Moose Jaw Air Vice Marshal C. M. McEwen Airport,NA,CA
CYML,47.59749984741211,-70.2238998413086,Charlevoix Airport,NA,CA
CYMM,56.653301239,-111.222000122,Fort McMurray Airport,NA,CA
CYMO,51.29109954833984,-80.60780334472656,Moosonee Airport,NA,CA
CYMT,49.77190017700195,-74.5280990600586,Chapais Airport,NA,CA
CYMU,56.536098,-76.518303,Umiujaq Airport,NA,CA
CYMW,46.2728,-75.990601,Maniwaki Airport,NA,CA
CYMX,45.679501,-74.038696,Montreal International (Mirabel) Airport,NA,CA
CYMY,50.717231,-93.384501,Ear Falls Airport,NA,CA
CYNA,50.190114,-61.78898,Natashquan Airport,NA,CA
CYNC,53.010601,-78.8311,Wemindji Airport,NA,CA
CYND,45.521702,-75.563599,Ottawa / Gatineau Airport,NA,CA
CYNE,53.958302,-97.8442,Norway House Airport,NA,CA
CYNH,56.035142,-121.978326,Hudson's Hope Airport,NA,CA
CYNJ,49.1008,-122.630997,Langley Airport,NA,CA
CYNL,58.27669906616211,-104.08200073242188,Points North Landing Airport,NA,CA
CYNM,49.76169967651367,-77.80280303955078,Matagami Airport,NA,CA
CYNN,59.4874992371,-97.7802963257,Nejanilini Lake Airport,NA,CA
CYNR,57.381699,-111.700996,Fort Mackay / Horizon Airport,NA,CA
CYOA,64.6988983154,-110.614997864,Ekati Airport,NA,CA
CYOC,67.570602,-139.839005,Old Crow Airport,NA,CA
CYOD,54.40499877929688,-110.27899932861328,CFB Cold Lake,NA,CA
CYOH,54.9333,-95.2789,Oxford House Airport,NA,CA
CYOJ,58.62139892578125,-117.16500091552734,High Level Airport,NA,CA
CYOO,43.922798,-78.894997,Oshawa Executive Airport,NA,CA
CYOP,58.491402,-119.407997,Rainbow Lake Airport,NA,CA
CYOS,44.5903015137,-80.8375015259,Owen Sound / Billy Bishop Regional Airport,NA,CA
CYOW,45.322498,-75.669197,Ottawa Macdonald-Cartier International Airport,NA,CA
CYPA,53.2141990662,-105.672996521,Prince Albert Glass Field,NA,CA
CYPC,69.360838,-124.07547,Paulatuk (Nora Aliqatchialuk Ruben) Airport,NA,CA
CYPD,45.6567001343,-61.3680992126,Port Hawkesbury Airport,NA,CA
CYPE,56.226898,-117.446999,Peace River Airport,NA,CA
CYPG,49.903099,-98.273817,Portage-la-Prairie / Southport Airport,NA,CA
CYPH,58.471901,-78.076897,Inukjuak Airport,NA,CA
CYPK,49.216099,-122.709999,Pitt Meadows Airport,NA,CA
CYPL,51.4463996887207,-90.21420288085938,Pickle Lake Airport,NA,CA
CYPM,51.819698,-93.973297,Pikangikum Airport,NA,CA
CYPN,49.836399,-64.288597,Port-Menier Airport,NA,CA
CYPO,54.987932,-85.442648,Peawanuck Airport,NA,CA
CYPP,47.931901,-74.608103,Parent Airport,NA,CA
CYPQ,44.23,-78.363297,Peterborough Municipal Airport,NA,CA
CYPR,54.2860984802,-130.445007324,Prince Rupert Airport,NA,CA
CYPS,50.302502,-122.737999,Pemberton Regional Airport,NA,CA
CYPT,41.778033,-82.674222,Pelee Island Airport,NA,CA
CYPU,52.11280059814453,-124.1449966430664,Puntzi Mountain Airport,NA,CA
CYPW,49.83420181274414,-124.5,Powell River Airport,NA,CA
CYPX,60.050598,-77.286903,Puvirnituq Airport,NA,CA
CYPY,58.7672004699707,-111.11699676513672,Fort Chipewyan Airport,NA,CA
CYPZ,54.3764,-125.950996,Burns Lake Airport,NA,CA
CYQA,44.975376,-79.306546,Muskoka Airport,NA,CA
CYQB,46.7911,-71.393303,Quebec Jean Lesage International Airport,NA,CA
CYQD,53.97140121459961,-101.09100341796876,The Pas Airport,NA,CA
CYQF,52.182201,-113.893997,Red Deer Regional Airport,NA,CA
CYQG,42.27560043334961,-82.95559692382812,Windsor Airport,NA,CA
CYQH,60.116839,-128.821993,Watson Lake Airport,NA,CA
CYQI,43.82690048217773,-66.08809661865234,Yarmouth Airport,NA,CA
CYQK,49.78829956054688,-94.36309814453124,Kenora Airport,NA,CA
CYQL,49.6302986145,-112.800003052,Lethbridge County Airport,NA,CA
CYQM,46.112202,-64.678596,Greater Moncton Roméo LeBlanc International Airport,NA,CA
CYQN,50.18280029296875,-86.69640350341797,Nakina Airport,NA,CA
CYQQ,49.7108,-124.887001,Comox Valley Airport / CFB Comox,NA,CA
CYQR,50.43190002441406,-104.66600036621094,Regina International Airport,NA,CA
CYQS,42.77000045776367,-81.11080169677734,St Thomas Municipal Airport,NA,CA
CYQT,48.37189865112305,-89.32389831542969,Thunder Bay Airport,NA,CA
CYQU,55.1796989441,-118.885002136,Grande Prairie Airport,NA,CA
CYQV,51.26470184326172,-102.46199798583984,Yorkton Municipal Airport,NA,CA
CYQW,52.769409,-108.243742,North Battleford Airport,NA,CA
CYQX,48.936258,-54.567719,Gander International Airport / CFB Gander,NA,CA
CYQY,46.1614,-60.047798,Sydney / J.A. Douglas McCurdy Airport,NA,CA
CYQZ,53.026100158691406,-122.51000213623048,Quesnel Airport,NA,CA
CYRA,64.116096,-117.309998,Rae Lakes Airport,NA,CA
CYRB,74.7169036865,-94.9693984985,Resolute Bay Airport,NA,CA
CYRC,48.520963,-71.05256,Chicoutimi/Saint-Honoré Aerodrome,NA,CA
CYRI,47.76440048217773,-69.58470153808594,Rivière-du-Loup Airport,NA,CA
CYRJ,48.519665,-72.265735,Roberval Airport,NA,CA
CYRL,51.06689834594727,-93.79309844970705,Red Lake Airport,NA,CA
CYRM,52.4296989441,-114.903999329,Rocky Mountain House Airport,NA,CA
CYRO,45.4603004456,-75.64610290530001,Ottawa / Rockcliffe Airport,NA,CA
CYRP,45.3191986084,-76.0222015381,Ottawa / Carp Airport,NA,CA
CYRQ,46.35279846191406,-72.67939758300781,Trois-Rivières Airport,NA,CA
CYRS,54.167198,-93.557198,Red Sucker Lake Airport,NA,CA
CYRT,62.8114013672,-92.1157989502,Rankin Inlet Airport,NA,CA
CYRV,50.962245,-118.184258,Revelstoke Airport,NA,CA
CYSA,43.415599823,-80.93440246579999,Stratford Municipal Airport,NA,CA
CYSB,46.625,-80.79889678955078,Sudbury Airport,NA,CA
CYSC,45.438599,-71.691399,Sherbrooke Airport,NA,CA
CYSE,49.7817001343,-123.162002563,Squamish Airport,NA,CA
CYSF,59.250301361083984,-105.84100341796876,Stony Rapids Airport,NA,CA
CYSG,46.096401,-70.714699,Saint-Georges Airport,NA,CA
CYSH,44.945801,-75.940598,Smiths Falls-Montague (Russ Beach) Airport,NA,CA
CYSJ,45.31610107421875,-65.89029693603516,Saint John Airport,NA,CA
CYSK,56.536891,-79.250221,Sanikiluaq Airport,NA,CA
CYSL,47.157097,-67.836242,Saint-Léonard Airport,NA,CA
CYSM,60.020302,-111.961998,Fort Smith Airport,NA,CA
CYSN,43.191598,-79.171686,Niagara District Airport,NA,CA
CYSP,48.75529861450195,-86.34439849853516,Marathon Airport,NA,CA
CYSQ,59.57833,-133.668938,Atlin Airport,NA,CA
CYST,53.845261,-94.851966,St. Theresa Point Airport,NA,CA
CYSU,46.440601,-63.833599,Summerside Airport,NA,CA
CYSW,49.834273,-114.878653,Sparwood Elk Valley Airport,NA,CA
